rank;config_id;strategy_name;total_trades;win_rate;avg_pnl;total_pnl;profit_factor;max_drawdown;sharpe_ratio;avg_hold_time;filtered_out;best_trade;worst_trade;execution_time;buffer_hours_after;buffer_hours_before;cross_lookback_periods;long_enter_zone_mid_tf;long_exit_zone;long_extreme_exit;max_hold_hours;rsi_extreme_threshold;secondary_timeframes;short_enter_zone_mid_tf;short_exit_zone;short_extreme_exit;sma_change_periods;sma_change_threshold;stop_loss;strategy_name;take_profit;tf_multiplier_15m;tf_multiplier_1h;tf_multiplier_30m;trailing_stop_activation;trailing_stop_distance;use_trailing_stop
21;genetic_balanced_0006;genetic_gen0_6;47;74.47;1.23;57.81;5.01;4.8;0.672;3.68;2813;6.68;-1.2;2043.637;280;160;6;37;65;88;30;18;['15m', '1h'];60;38;15;7;0.3;0.012;genetic_gen0_6;0.06;2;12;6;0.01;0.012;False
22;genetic_balanced_0106;genetic_gen0_6;47;74.47;1.23;57.81;5.01;4.8;0.672;3.68;2813;6.68;-1.2;2039.769;280;160;6;37;65;88;30;18;['15m', '1h'];60;38;15;7;0.3;0.012;genetic_gen0_6;0.06;2;12;6;0.01;0.012;False
23;genetic_balanced_0206;genetic_gen0_6;47;74.47;1.23;57.81;5.01;4.8;0.672;3.68;2813;6.68;-1.2;1873.337;280;160;6;37;65;88;30;18;['15m', '1h'];60;38;15;7;0.3;0.012;genetic_gen0_6;0.06;2;12;6;0.01;0.012;False
24;genetic_balanced_0406;genetic_gen0_6;47;74.47;1.23;57.81;5.01;4.8;0.672;3.68;2813;6.68;-1.2;1941.463;280;160;6;37;65;88;30;18;['15m', '1h'];60;38;15;7;0.3;0.012;genetic_gen0_6;0.06;2;12;6;0.01;0.012;False
25;genetic_balanced_0243;genetic_gen2_cross_43;62;66.13;1.2267;76.06;3.52;6.0;0.475;5.9;2798;8.72;-1.5;1365.26;180;120;8;50;62;88;24;10;['30m'];70;32;12;6;0.2;0.015;genetic_gen2_cross_43;0.05;2;12;4;0.008;0.008;False
26;genetic_balanced_0179;genetic_gen1_cross_79;37;64.86;1.2134;44.89;4.0;4.8;0.547;4.87;2823;6.48;-1.2;1548.568;200;100;6;35;68;88;12;15;['15m'];70;35;12;8;0.2;0.012;genetic_gen1_cross_79;0.05;4;16;8;0.01;0.012;False
27;genetic_balanced_0331;genetic_gen3_cross_31;53;69.81;1.2127;64.27;4.35;6.0;0.592;4.56;2807;6.48;-1.2;1819.428;180;80;12;40;68;82;12;18;['15m', '30m'];57;38;18;9;0.3;0.012;genetic_gen3_cross_31;0.03;4;12;8;0.008;0.01;False
28;genetic_balanced_0498;genetic_gen4_mut_98;140;60.0;1.2055;168.77;2.42;12.08;0.34;8.15;2720;9.01;-2.2;893.205;280;80;12;40;62;80;24;20;['1h'];57;28;18;4;0.3;0.022;genetic_gen4_mut_98;0.045;2;16;4;0.01;0.008;False
29;genetic_balanced_0431;genetic_gen4_mut_31;48;66.67;1.201;57.65;2.96;11.0;0.461;8.83;2812;6.48;-2.2;2065.859;320;140;15;35;70;78;20;18;['15m', '30m'];65;32;12;7;0.6;0.022;genetic_gen4_mut_31;0.05;2;16;8;0.008;0.01;False
30;genetic_balanced_0493;genetic_gen4_cross_93;116;54.31;1.1919;138.26;2.33;10.65;0.347;12.22;2536;9.57;-2.2;1132.397;320;100;10;30;70;75;24;10;['30m'];55;28;22;9;0.4;0.022;genetic_gen4_cross_93;0.03;3;16;6;0.008;0.008;False
